"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001503","GO:0001503","ossification","7/85","398/18670",0.00224887142976923,0.0871458875488287,0.0775470730222892,"ID2/PKDCC/PTN/GDPD2/GPC3/SMOC1/WWOX",7
"GO:0030278","GO:0030278","regulation of ossification","5/85","203/18670",0.00234723219594055,0.0871458875488287,0.0775470730222892,"ID2/PKDCC/PTN/GDPD2/SMOC1",5
"GO:0048385","GO:0048385","regulation of retinoic acid receptor signaling pathway","2/85","16/18670",0.00235832943108944,0.0871458875488287,0.0775470730222892,"CRABP2/CYP26A1",2
"GO:0014013","GO:0014013","regulation of gliogenesis","4/85","124/18670",0.00247926554991,0.08948418915024,0.0796278188857263,"CNTN2/ID2/LRP2/PTN",4
"GO:0045600","GO:0045600","positive regulation of fat cell differentiation","3/85","64/18670",0.00310618339912853,0.100990758346534,0.0898669797549189,"FNDC5/ID2/FRZB",3
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","5/85","217/18670",0.00312835669123052,0.100990758346534,0.0898669797549189,"HILPDA/PTN/STOX1/CACNB3/SIRT4",5
"GO:0010001","GO:0010001","glial cell differentiation","5/85","218/18670",0.00319051878723086,0.100990758346534,0.0898669797549189,"POU3F1/CNTN2/ID2/PTN/TRPC4",5
"GO:0032886","GO:0032886","regulation of microtubule-based process","5/85","218/18670",0.00319051878723086,0.100990758346534,0.0898669797549189,"MAP2/FAM107A/ARMC4/FEZ1/TTLL6",5
"GO:0050807","GO:0050807","regulation of synapse organization","5/85","218/18670",0.00319051878723086,0.100990758346534,0.0898669797549189,"LRRN3/PTN/FLRT3/SYNDIG1/LRRC4B",5
"GO:0048663","GO:0048663","neuron fate commitment","3/85","65/18670",0.00324587409438155,0.100990758346534,0.0898669797549189,"PRRX1/ID2/ZNF521",3
"GO:0043583","GO:0043583","ear development","5/85","219/18670",0.00325356824570019,0.100990758346534,0.0898669797549189,"PRRX1/MYO3B/FRZB/STOX1/FZD2",5
"GO:0003341","GO:0003341","cilium movement","3/85","68/18670",0.00368787171085548,0.110137479143951,0.0980062212675414,"MAATS1/ARMC4/TTLL6",3
"GO:0097503","GO:0097503","sialylation","2/85","20/18670",0.003690173270287,0.110137479143951,0.0980062212675414,"ST6GALNAC3/ST3GAL6",2
"GO:0050803","GO:0050803","regulation of synapse structure or activity","5/85","227/18670",0.00379077189485045,0.111005244920904,0.098778405681108,"LRRN3/PTN/FLRT3/SYNDIG1/LRRC4B",5
"GO:0001655","GO:0001655","urogenital system development","6/85","330/18670",0.00395491233127896,0.113667109965647,0.101147075606979,"ID2/ODC1/GPC3/CYP26A1/CTSH/IRX3",6
"GO:0140058","GO:0140058","neuron projection arborization","2/85","21/18670",0.00406659591944728,0.11475194303604,0.102112418111289,"LRP2/PTN",2
"GO:0071453","GO:0071453","cellular response to oxygen levels","5/85","234/18670",0.00431067988624473,0.119467413990211,0.106308496442727,"HILPDA/PTN/STOX1/CACNB3/SIRT4",5
"GO:0045685","GO:0045685","regulation of glial cell differentiation","3/85","73/18670",0.00450282030068871,0.120999570637912,0.107671891397817,"CNTN2/ID2/PTN",3
"GO:0035107","GO:0035107","appendage morphogenesis","4/85","148/18670",0.00467119626016345,0.120999570637912,0.107671891397817,"CRABP2/PRRX1/PKDCC/GPC3",4
"GO:0035108","GO:0035108","limb morphogenesis","4/85","148/18670",0.00467119626016345,0.120999570637912,0.107671891397817,"CRABP2/PRRX1/PKDCC/GPC3",4
"GO:0014015","GO:0014015","positive regulation of gliogenesis","3/85","74/18670",0.00467781845249662,0.120999570637912,0.107671891397817,"ID2/LRP2/PTN",3
"GO:0010721","GO:0010721","negative regulation of cell development","6/85","344/18670",0.00483522444632708,0.121578787840952,0.108187309853045,"CNTN2/ID2/FRZB/MAP2/PTN/IRX3",6
"GO:0003281","GO:0003281","ventricular septum development","3/85","75/18670",0.00485688456581123,0.121578787840952,0.108187309853045,"ID2/LRP2/FZD2",3
"GO:0060411","GO:0060411","cardiac septum morphogenesis","3/85","76/18670",0.00504004532244746,0.122936658085067,0.109395615441948,"ID2/LRP2/FZD2",3
"GO:0030902","GO:0030902","hindbrain development","4/85","152/18670",0.00513195268145239,0.122936658085067,0.109395615441948,"HES3/WLS/PTN/SEZ6",4
"GO:0008344","GO:0008344","adult locomotory behavior","3/85","77/18670",0.00522732679543104,0.122936658085067,0.109395615441948,"CNTN2/ID2/SEZ6",3
"GO:2000178","GO:2000178","negative regulation of neural precursor cell proliferation","2/85","24/18670",0.00529759948652818,0.122936658085067,0.109395615441948,"ID2/PTN",2
"GO:0003002","GO:0003002","regionalization","6/85","351/18670",0.00532594866348727,0.122936658085067,0.109395615441948,"HES3/WLS/LRP2/GPC3/CRB2/IRX3",6
"GO:0021954","GO:0021954","central nervous system neuron development","3/85","78/18670",0.00541875445506834,0.122936658085067,0.109395615441948,"CNTN2/MAP2/DCLK2",3
"GO:0007409","GO:0007409","axonogenesis","7/85","468/18670",0.00546561173187478,0.122936658085067,0.109395615441948,"CRABP2/CNTN2/DPYSL5/MAP2/BOC/FEZ1/FLRT3",7
"GO:0055003","GO:0055003","cardiac myofibril assembly","2/85","26/18670",0.00620146724263836,0.13749538800821,0.122350752215662,"NEBL/FHOD3",2
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation","3/85","88/18670",0.00756625576238214,0.159641984010004,0.142057978174936,"ID2/LRP2/PTN",3
"GO:0010975","GO:0010975","regulation of neuron projection development","7/85","499/18670",0.00767494466165721,0.159641984010004,0.142057978174936,"CRABP2/PRRX1/CNTN2/MAP2/PTN/FEZ1/SEZ6",7
"GO:0010954","GO:0010954","positive regulation of protein processing","2/85","29/18670",0.00767895251209371,0.159641984010004,0.142057978174936,"CNTN2/CCBE1",2
"GO:0021884","GO:0021884","forebrain neuron development","2/85","29/18670",0.00767895251209371,0.159641984010004,0.142057978174936,"CNTN2/DCLK2",2
"GO:0060021","GO:0060021","roof of mouth development","3/85","89/18670",0.00780480607601289,0.159641984010004,0.142057978174936,"PRRX1/PKDCC/FZD2",3
"GO:0045778","GO:0045778","positive regulation of ossification","3/85","90/18670",0.00804776335496311,0.159641984010004,0.142057978174936,"PKDCC/PTN/GDPD2",3
"GO:0048384","GO:0048384","retinoic acid receptor signaling pathway","2/85","30/18670",0.00820328307651703,0.159641984010004,0.142057978174936,"CRABP2/CYP26A1",2
"GO:0001578","GO:0001578","microtubule bundle formation","3/85","91/18670",0.00829514576587775,0.159641984010004,0.142057978174936,"MAP2/ARMC4/TTLL6",3
"GO:0030510","GO:0030510","regulation of BMP signaling pathway","3/85","91/18670",0.00829514576587775,0.159641984010004,0.142057978174936,"LRP2/GPC3/CRB2",3
"GO:0007411","GO:0007411","axon guidance","5/85","276/18670",0.00854534887620929,0.159641984010004,0.142057978174936,"CNTN2/DPYSL5/BOC/FEZ1/FLRT3",5
"GO:0097485","GO:0097485","neuron projection guidance","5/85","277/18670",0.00867194069661401,0.159641984010004,0.142057978174936,"CNTN2/DPYSL5/BOC/FEZ1/FLRT3",5
"GO:0007416","GO:0007416","synapse assembly","4/85","177/18670",0.0087131967099952,0.159641984010004,0.142057978174936,"LRRN3/FLRT3/SYNDIG1/LRRC4B",4
"GO:0045880","GO:0045880","positive regulation of smoothened signaling pathway","2/85","31/18670",0.0087432787634345,0.159641984010004,0.142057978174936,"PRRX1/GPC3",2
"GO:0048710","GO:0048710","regulation of astrocyte differentiation","2/85","31/18670",0.0087432787634345,0.159641984010004,0.142057978174936,"CNTN2/ID2",2
"GO:1903319","GO:1903319","positive regulation of protein maturation","2/85","31/18670",0.0087432787634345,0.159641984010004,0.142057978174936,"CNTN2/CCBE1",2
"GO:0045745","GO:0045745","positive regulation of G protein-coupled receptor signaling pathway","2/85","32/18670",0.00929878953647249,0.165765686527069,0.147507176291043,"CNTN2/FZD2",2
"GO:0070570","GO:0070570","regulation of neuron projection regeneration","2/85","32/18670",0.00929878953647249,0.165765686527069,0.147507176291043,"PRRX1/PTN",2
"GO:0007018","GO:0007018","microtubule-based movement","5/85","283/18670",0.00945893501726592,0.165765686527069,0.147507176291043,"MAP2/MAATS1/ARMC4/FEZ1/TTLL6",5
"GO:0051604","GO:0051604","protein maturation","6/85","397/18670",0.00950589310625588,0.165765686527069,0.147507176291043,"CNTN2/TSPAN15/CUZD1/SIRT4/CTSH/CCBE1",6
"GO:0010464","GO:0010464","regulation of mesenchymal cell proliferation","2/85","33/18670",0.00986966637255665,0.168326617694593,0.149786029853029,"PRRX1/PTN",2
"GO:0030513","GO:0030513","positive regulation of BMP signaling pathway","2/85","33/18670",0.00986966637255665,0.168326617694593,0.149786029853029,"GPC3/CRB2",2
"GO:0048566","GO:0048566","embryonic digestive tract development","2/85","34/18670",0.0104557612559728,0.175411510127119,0.156090546179314,"ID2/PKDCC",2
"GO:1905475","GO:1905475","regulation of protein localization to membrane","4/85","187/18670",0.0105111278619988,0.175411510127119,0.156090546179314,"PKDCC/PTN/GPC3/CACNB3",4
"GO:0050768","GO:0050768","negative regulation of neurogenesis","5/85","295/18670",0.0111783726084449,0.184562066896877,0.164233201145349,"CNTN2/ID2/MAP2/PTN/IRX3",5
"GO:0007626","GO:0007626","locomotory behavior","4/85","198/18670",0.012748836736572,0.208275732791156,0.18533488973277,"CNTN2/ID2/GAD1/SEZ6",4
"GO:0030501","GO:0030501","positive regulation of bone mineralization","2/85","39/18670",0.0136093956066508,0.215528387566551,0.19178868996698,"PKDCC/PTN",2
"GO:0048713","GO:0048713","regulation of oligodendrocyte differentiation","2/85","39/18670",0.0136093956066508,0.215528387566551,0.19178868996698,"ID2/PTN",2
"GO:0060306","GO:0060306","regulation of membrane repolarization","2/85","39/18670",0.0136093956066508,0.215528387566551,0.19178868996698,"SCN4B/CACNB3",2
"GO:1990778","GO:1990778","protein localization to cell periphery","5/85","311/18670",0.0137880442126372,0.216151965838515,0.192343583274642,"PKDCC/MAPK10/TSPAN15/CACNB3/TMEM88",5
"GO:0051961","GO:0051961","negative regulation of nervous system development","5/85","315/18670",0.0144995609280886,0.223414664091488,0.198806320732524,"CNTN2/ID2/MAP2/PTN/IRX3",5
"GO:0003279","GO:0003279","cardiac septum development","3/85","112/18670",0.0145392274956445,0.223414664091488,0.198806320732524,"ID2/LRP2/FZD2",3
"GO:0071456","GO:0071456","cellular response to hypoxia","4/85","207/18670",0.0147906274333945,0.225049546829689,0.200261126858758,"HILPDA/PTN/STOX1/SIRT4",4
"GO:0090317","GO:0090317","negative regulation of intracellular protein transport","2/85","41/18670",0.0149723062765111,0.225602129525682,0.200752844504676,"SIRT4/DERL3",2
"GO:0030282","GO:0030282","bone mineralization","3/85","114/18670",0.0152405961694635,0.227436588990455,0.202385244679515,"PKDCC/PTN/GPC3",3
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","4/85","210/18670",0.0155145785653294,0.229320246984679,0.204061424337967,"FRZB/GPC3/WWOX/TMEM88",4
"GO:0021782","GO:0021782","glial cell development","3/85","116/18670",0.0159608296776697,0.233690638299465,0.207950432344614,"POU3F1/CNTN2/ID2",3
"GO:0045687","GO:0045687","positive regulation of glial cell differentiation","2/85","43/18670",0.0163914958393526,0.237753285445563,0.211565593125732,"ID2/PTN",2
"GO:0016485","GO:0016485","protein processing","5/85","328/18670",0.0169818835001845,0.241573706695618,0.214965208345531,"CNTN2/CUZD1/SIRT4/CTSH/CCBE1",5
"GO:0014003","GO:0014003","oligodendrocyte development","2/85","44/18670",0.017121847768375,0.241573706695618,0.214965208345531,"CNTN2/ID2",2
"GO:0060412","GO:0060412","ventricular septum morphogenesis","2/85","44/18670",0.017121847768375,0.241573706695618,0.214965208345531,"ID2/FZD2",2
"GO:0009952","GO:0009952","anterior/posterior pattern specification","4/85","219/18670",0.0178193833899572,0.243023064437516,0.216254924404518,"HES3/WLS/GPC3/CRB2",4
"GO:0014014","GO:0014014","negative regulation of gliogenesis","2/85","45/18670",0.0178658543908681,0.243023064437516,0.216254924404518,"ID2/PTN",2
"GO:1900271","GO:1900271","regulation of long-term synaptic potentiation","2/85","45/18670",0.0178658543908681,0.243023064437516,0.216254924404518,"FAM107A/PTN",2
"GO:0015849","GO:0015849","organic acid transport","5/85","333/18670",0.0180075079963366,0.243023064437516,0.216254924404518,"PPFIA4/LRP2/SLC16A14/TRPC4/SLC16A11",5
"GO:0046942","GO:0046942","carboxylic acid transport","5/85","333/18670",0.0180075079963366,0.243023064437516,0.216254924404518,"PPFIA4/LRP2/SLC16A14/TRPC4/SLC16A11",5
"GO:0060070","GO:0060070","canonical Wnt signaling pathway","5/85","335/18670",0.0184290148277422,0.246567508729793,0.219408960562594,"WLS/FRZB/GPC3/TMEM88/FZD2",5
"GO:0001838","GO:0001838","embryonic epithelial tube formation","3/85","124/18670",0.0190313477831454,0.247666000832756,0.22038645760484,"LRP2/IRX3/FZD2",3
"GO:0070169","GO:0070169","positive regulation of biomineral tissue development","2/85","47/18670",0.0193942871327924,0.247666000832756,0.22038645760484,"PKDCC/PTN",2
"GO:0030326","GO:0030326","embryonic limb morphogenesis","3/85","125/18670",0.0194365665917893,0.247666000832756,0.22038645760484,"CRABP2/PRRX1/GPC3",3
"GO:0035113","GO:0035113","embryonic appendage morphogenesis","3/85","125/18670",0.0194365665917893,0.247666000832756,0.22038645760484,"CRABP2/PRRX1/GPC3",3
"GO:0001649","GO:0001649","osteoblast differentiation","4/85","225/18670",0.0194685902716471,0.247666000832756,0.22038645760484,"ID2/GDPD2/SMOC1/WWOX",4
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","4/85","225/18670",0.0194685902716471,0.247666000832756,0.22038645760484,"CNTN2/ID2/MAP2/IRX3",4
"GO:0045667","GO:0045667","regulation of osteoblast differentiation","3/85","126/18670",0.0198465534433716,0.25042155239116,0.222838494802769,"ID2/GDPD2/SMOC1",3
"GO:0007528","GO:0007528","neuromuscular junction development","2/85","48/18670",0.0201784432875153,0.25053555185779,0.222939937627117,"PTN/CACNB3",2
"GO:0008089","GO:0008089","anterograde axonal transport","2/85","48/18670",0.0201784432875153,0.25053555185779,0.222939937627117,"MAP2/FEZ1",2
"GO:0050769","GO:0050769","positive regulation of neurogenesis","6/85","474/18670",0.0210579501107266,0.251994392740517,0.224238092292158,"CRABP2/ID2/LRP2/PTN/FEZ1/IRX3",6
"GO:0003206","GO:0003206","cardiac chamber morphogenesis","3/85","129/18670",0.0211051453006872,0.251994392740517,0.224238092292158,"ID2/LRP2/FZD2",3
"GO:0034754","GO:0034754","cellular hormone metabolic process","3/85","129/18670",0.0211051453006872,0.251994392740517,0.224238092292158,"CRABP2/CYP26A1/CRABP1",3
"GO:0044106","GO:0044106","cellular amine metabolic process","3/85","129/18670",0.0211051453006872,0.251994392740517,0.224238092292158,"ODC1/SIRT4/GDPD1",3
"GO:0003231","GO:0003231","cardiac ventricle development","3/85","130/18670",0.0215342256234121,0.251994392740517,0.224238092292158,"ID2/LRP2/FZD2",3
"GO:0009948","GO:0009948","anterior/posterior axis specification","2/85","50/18670",0.0217859671762097,0.251994392740517,0.224238092292158,"WLS/GPC3",2
"GO:0060976","GO:0060976","coronary vasculature development","2/85","50/18670",0.0217859671762097,0.251994392740517,0.224238092292158,"LRP2/GPC3",2
"GO:0086009","GO:0086009","membrane repolarization","2/85","50/18670",0.0217859671762097,0.251994392740517,0.224238092292158,"SCN4B/CACNB3",2
"GO:0048738","GO:0048738","cardiac muscle tissue development","4/85","233/18670",0.0218104454573973,0.251994392740517,0.224238092292158,"ID2/LRP2/NEBL/FHOD3",4
"GO:0042552","GO:0042552","myelination","3/85","132/18670",0.0224067179112057,0.251994392740517,0.224238092292158,"POU3F1/CNTN2/PTN",3
"GO:0045598","GO:0045598","regulation of fat cell differentiation","3/85","132/18670",0.0224067179112057,0.251994392740517,0.224238092292158,"FNDC5/ID2/FRZB",3
"GO:0045995","GO:0045995","regulation of embryonic development","3/85","132/18670",0.0224067179112057,0.251994392740517,0.224238092292158,"CRB2/STOX1/FZD2",3
"GO:0072175","GO:0072175","epithelial tube formation","3/85","132/18670",0.0224067179112057,0.251994392740517,0.224238092292158,"LRP2/IRX3/FZD2",3
"GO:0015711","GO:0015711","organic anion transport","6/85","482/18670",0.0226417101367648,0.252805281527043,0.224959664516739,"PPFIA4/LRP2/SLC16A14/TRPC4/CA12/SLC16A11",6
"GO:0007224","GO:0007224","smoothened signaling pathway","3/85","133/18670",0.0228501310614844,0.252860115048093,0.225008458317348,"PRRX1/BOC/GPC3",3
"GO:0006766","GO:0006766","vitamin metabolic process","3/85","134/18670",0.0232983224561065,0.252860115048093,0.225008458317348,"LRP2/CYP26A1/CRABP1",3
"GO:0007272","GO:0007272","ensheathment of neurons","3/85","134/18670",0.0232983224561065,0.252860115048093,0.225008458317348,"POU3F1/CNTN2/PTN",3
"GO:0008366","GO:0008366","axon ensheathment","3/85","134/18670",0.0232983224561065,0.252860115048093,0.225008458317348,"POU3F1/CNTN2/PTN",3
"GO:0007498","GO:0007498","mesoderm development","3/85","135/18670",0.0237512918684179,0.255986145692948,0.227790167626932,"WLS/CRB2/IRX3",3
"GO:0021879","GO:0021879","forebrain neuron differentiation","2/85","53/18670",0.0242933053930473,0.258241164178147,0.229796803717938,"CNTN2/DCLK2",2
"GO:0031638","GO:0031638","zymogen activation","2/85","53/18670",0.0242933053930473,0.258241164178147,0.229796803717938,"CUZD1/CTSH",2
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","5/85","363/18670",0.0250276169566496,0.263618327800651,0.234581691586038,"WLS/FRZB/GPC3/WWOX/TMEM88",5
"GO:0009308","GO:0009308","amine metabolic process","3/85","138/18670",0.0251388611562476,0.263618327800651,0.234581691586038,"ODC1/SIRT4/GDPD1",3
"GO:0003229","GO:0003229","ventricular cardiac muscle tissue development","2/85","55/18670",0.0260273828593675,0.269296654651589,0.239634570606948,"ID2/LRP2",2
"GO:0006576","GO:0006576","cellular biogenic amine metabolic process","2/85","55/18670",0.0260273828593675,0.269296654651589,0.239634570606948,"ODC1/GDPD1",2
"GO:0036293","GO:0036293","response to decreased oxygen levels","5/85","370/18670",0.026886922718054,0.276347708996157,0.24590897599224,"HILPDA/PTN/STOX1/CACNB3/SIRT4",5
"GO:0021537","GO:0021537","telencephalon development","4/85","251/18670",0.0276898964552194,0.282728416437504,0.251586870839667,"CNTN2/ID2/DCLK2/FEZ1",4
"GO:0030534","GO:0030534","adult behavior","3/85","144/18670",0.0280428341828872,0.284460644783274,0.25312830029548,"CNTN2/ID2/SEZ6",3
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","4/85","253/18670",0.0283961500668462,0.286174187686658,0.254653102444992,"PTN/GPC3/STOX1/FZD2",4
"GO:0098930","GO:0098930","axonal transport","2/85","58/18670",0.0287197222702685,0.287567799764237,0.25589321302949,"MAP2/FEZ1",2
"GO:0055123","GO:0055123","digestive system development","3/85","146/18670",0.0290489261859592,0.288999573337235,0.257167281754241,"WLS/ID2/PKDCC",3
"GO:0061351","GO:0061351","neural precursor cell proliferation","3/85","147/18670",0.029559101119712,0.291157084892892,0.259087150962747,"ID2/LRP2/PTN",3
"GO:0031102","GO:0031102","neuron projection regeneration","2/85","59/18670",0.0296409918898692,0.291157084892892,0.259087150962747,"PRRX1/PTN",2
"GO:0035148","GO:0035148","tube formation","3/85","148/18670",0.0300740232892199,0.293552730470876,0.261218924564426,"LRP2/IRX3/FZD2",3
"GO:0003007","GO:0003007","heart morphogenesis","4/85","259/18670",0.0305792280715148,0.29448340283136,0.262047086621503,"ID2/LRP2/BBS5/FZD2",4
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway","3/85","149/18670",0.030593688312246,0.29448340283136,0.262047086621503,"RGS5/CNTN2/FZD2",3
"GO:0072659","GO:0072659","protein localization to plasma membrane","4/85","260/18670",0.0309524844181627,0.29448340283136,0.262047086621503,"PKDCC/TSPAN15/CACNB3/TMEM88",4
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","3/85","150/18670",0.0311180915363035,0.29448340283136,0.262047086621503,"LRP2/IRX3/FZD2",3
"GO:0035567","GO:0035567","non-canonical Wnt signaling pathway","3/85","150/18670",0.0311180915363035,0.29448340283136,0.262047086621503,"FRZB/GPC3/FZD2",3
"GO:0006521","GO:0006521","regulation of cellular amino acid metabolic process","2/85","62/18670",0.0324745368608842,0.305457461867226,0.271812391460798,"ODC1/SIRT4",2
"GO:0070482","GO:0070482","response to oxygen levels","5/85","394/18670",0.0339241300836743,0.306221323086119,0.272492116039737,"HILPDA/PTN/STOX1/CACNB3/SIRT4",5
"GO:0030509","GO:0030509","BMP signaling pathway","3/85","157/18670",0.0349211377247879,0.306221323086119,0.272492116039737,"LRP2/GPC3/CRB2",3
